Date/Time,Rain,Max Wind,Average WInd,Wind DIr,Predicted Depth
20-10-21 10:35:59,0.3048,5.185664,1.8472994735049955,2.259035508967528,0.0001
20-10-21 10:37:01,0.508,5.185664,2.0681338968914993,2.3589517945955794,0.0001
20-10-21 10:38:03,0.7874,5.185664,2.3620158083968756,2.375336929708723,0.0001
20-10-21 10:39:05,0.7874,5.185664,2.1221603221805654,2.4368775378711645,0.0001
20-10-21 10:43:55,1.2954,5.185664,2.1021560434130713,2.460967465738966,0.0001
20-10-21 10:44:57,1.2954,3.621024,1.5333099615235328,2.4377998868475235,0.0001
20-10-21 10:45:59,1.2954,3.621024,1.8384776513219283,2.517139781005336],0.0001
20-10-21 10:47:02,1.4986,3.621024,1.932282668296892,2.523141220300098,0.0001
20-10-21 10:48:04,1.4986,3.621024,1.7845575426578426,2.5400762194756092,0.0001
20-10-21 10:49:06,1.1938,3.621024,1.553889756043459,2.5126201753495443,0.0001
20-10-21 10:50:08,0.9905999999999999,3.621024,1.65348095662680182,2.4861325558976675,0.0001
20-10-21 10:51:10,0.7111999999999999,3.397504,1.3336875089198028,2.4611923832201374,0.0001
20-10-21 10:52:13,0.7111999999999999,3.084576,1.1183375453637925,2.522561806362124,0.0001
20-10-21 10:52:50,0.20319999999999983,3.084576,1.1152583074311913,2.4708284337206523,0.0001
20-10-21 10:53:52,0.20319999999999983,3.084576,1.1246608558008626,2.311215625746115,0.0001
20-10-21 10:54:55,0.20319999999999983,3.084576,1.1714081699558558,2.4249380171552586,0.0001
20-10-21 10:56:33,0.0,2.68224,0.8856112332397247,2.3109440021218837,0.0001
20-10-21 10:56:55,0.0,2.190496,0.6181429039010194,2.283750109769382,0.0001
20-10-21 10:57:57,0.0,2.190496,0.5906553665206556,2.3085019743319006,0.0001
20-10-21 10:59:00,0.0,2.190496,0.4789290884839275,2.313663518573847,0.0001
20-10-21 11:00:02,0.0,1.1176,0.26168926471867643,2.23426995592011,0.0001
20-10-21 11:01:05,0.0,1.1176,0.22352,2.181661564992912,0.0001
20-10-21 11:02:07,0.0,1.1176,0.11176,2.181661564992912,0.0001
